Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
LEE	Lee	10218	11/04/2014	2014 General Election	4	POLL 004	3477	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	616
LEE	Lee	10218	11/04/2014	2014 General Election	6	POLL 006	2045	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	356
LEE	Lee	10218	11/04/2014	2014 General Election	7	POLL 007	3753	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	905
LEE	Lee	10218	11/04/2014	2014 General Election	8	POLL 008	3806	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	976
LEE	Lee	10218	11/04/2014	2014 General Election	9	POLL 009	3916	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	612
LEE	Lee	10218	11/04/2014	2014 General Election	10	POLL 010	2244	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	324
LEE	Lee	10218	11/04/2014	2014 General Election	11	POLL 011	3286	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	732
LEE	Lee	10218	11/04/2014	2014 General Election	12	POLL 012	2584	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	546
LEE	Lee	10218	11/04/2014	2014 General Election	13	POLL 013	3858	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	683
LEE	Lee	10218	11/04/2014	2014 General Election	14	POLL 014	1635	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	371
LEE	Lee	10218	11/04/2014	2014 General Election	15	POLL 015	2657	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	575
LEE	Lee	10218	11/04/2014	2014 General Election	16	POLL 016	1617	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	453
LEE	Lee	10218	11/04/2014	2014 General Election	17	POLL 017	323	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	43
LEE	Lee	10218	11/04/2014	2014 General Election	18	POLL 018	1135	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	119
LEE	Lee	10218	11/04/2014	2014 General Election	19	POLL 019	1394	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	195
LEE	Lee	10218	11/04/2014	2014 General Election	20	POLL 020	3399	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	639
LEE	Lee	10218	11/04/2014	2014 General Election	21	POLL 021	2198	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	464
LEE	Lee	10218	11/04/2014	2014 General Election	22	POLL 022	2948	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	551
LEE	Lee	10218	11/04/2014	2014 General Election	23	POLL 023	2505	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	486
LEE	Lee	10218	11/04/2014	2014 General Election	24	POLL 024	2553	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	367
LEE	Lee	10218	11/04/2014	2014 General Election	25	POLL 025	3018	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	501
