Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
LEE	Lee	9546	08/14/2012	2012 Primary Election	4	4 - LA EAST CO. REG LIBR      	3076	987	1275	814	U.S. Representative	 District 19	140191	Gary Aubuchon	REP	111520792	55663	29
LEE	Lee	9546	08/14/2012	2012 Primary Election	4	4 - LA EAST CO. REG LIBR      	3076	987	1275	814	U.S. Representative	 District 19	140191	Joe Davidow	REP	118278677	55316	2
LEE	Lee	9546	08/14/2012	2012 Primary Election	4	4 - LA EAST CO. REG LIBR      	3076	987	1275	814	U.S. Representative	 District 19	140191	Byron Donalds	REP	103089553	55718	34
LEE	Lee	9546	08/14/2012	2012 Primary Election	4	4 - LA EAST CO. REG LIBR      	3076	987	1275	814	U.S. Representative	 District 19	140191	Chauncey Porter Goss	REP	118381940	55515	40
LEE	Lee	9546	08/14/2012	2012 Primary Election	4	4 - LA EAST CO. REG LIBR      	3076	987	1275	814	U.S. Representative	 District 19	140191	Paige Kreegel	REP	102562145	55148	72
LEE	Lee	9546	08/14/2012	2012 Primary Election	4	4 - LA EAST CO. REG LIBR      	3076	987	1275	814	U.S. Representative	 District 19	140191	Trey Radel	REP	103063688	55790	99
LEE	Lee	9546	08/14/2012	2012 Primary Election	4	4 - LA EAST CO. REG LIBR      	3076	987	1275	814	U.S. Representative	 District 19	140191	Times Over Voted		0	901	0
LEE	Lee	9546	08/14/2012	2012 Primary Election	4	4 - LA EAST CO. REG LIBR      	3076	987	1275	814	U.S. Representative	 District 19	140191	Number of Under Votes		0	902	4
LEE	Lee	9546	08/14/2012	2012 Primary Election	6	6-EFM RUSSELL PARK            	1963	658	771	534	U.S. Representative	 District 19	140191	Gary Aubuchon	REP	111520792	55663	18
LEE	Lee	9546	08/14/2012	2012 Primary Election	6	6-EFM RUSSELL PARK            	1963	658	771	534	U.S. Representative	 District 19	140191	Joe Davidow	REP	118278677	55316	4
LEE	Lee	9546	08/14/2012	2012 Primary Election	6	6-EFM RUSSELL PARK            	1963	658	771	534	U.S. Representative	 District 19	140191	Byron Donalds	REP	103089553	55718	17
LEE	Lee	9546	08/14/2012	2012 Primary Election	6	6-EFM RUSSELL PARK            	1963	658	771	534	U.S. Representative	 District 19	140191	Chauncey Porter Goss	REP	118381940	55515	51
